ChangedType,Dynamic?,AddedTag,addedXpath,typeChanged,oldType,oldTag,oldXpath,newType,newTag,newXpath,removedTag,removedXpath,DOM,CV,Result,Vista,GroundTruth
[NODE_REMOVED],,,,,,,,,,,p,/html/body/div[9]/div[1]/p[1],TP,TP,TP,TP,a po box is a ....D
[PROP_CHANGED],,,,class,<section-title>,div,/html/body/div[9]/div[1]/div[1],<row justify-content-center title-case>,div,/html/body/div[9]/div[1]/div[1],,,FP,TP,TP,FN,invisible -mobile panels. D
[NODE_ADDED],,div,/html/body/div[9]/div[1]/div[1]/div[1],,,,,,,,,,TP,FP,TP,NA,Featured USPS ....A
[NODE_ADDED],,section,/html/body/section[2],,,,,,,,,,TP,FP,TP,NA,Our priority is you div. A
[NODE_ADDED],,section,/html/body/section[1],,,,,,,,,,TP,FP,TP,NA,Alert see how USPS...A
[PROP_CHANGED],,,,id,<ge-overlay>,div,/html/body/div[8],<>,div,/html/body/div[8],,,FP,TP,TP,FN,blank div
[NODE_REMOVED],,,,,,,,,,,iframe,/html/body/iframe[1],TP,TP,TP,TP,invisible iframe. D
[NODE_ADDED],,div,/html/body/div[8]/div[2],,,,,,,,,,TP,FP,TP,NA,div below gallery. A
[NODE_ADDED],,div,/html/body/div[8]/div[1],,,,,,,,,,FP,TP,TP,NA,div below gallery. U
[PROP_CHANGED],,,,class,<homepage-blades>,div,/html/body/div[7],<clearfix>,div,/html/body/div[7],,,FP,TP,TP,FP,div contains PO BOX ~ Grow your...
[NODE_REMOVED],,,,,,,,,,,ul,/html/body/div[7]/ul[1],TP,TP,TP,FP,div contains PO BOX ~ Grow your... D
[PROP_CHANGED],,,,class,<qm-con>,div,/html/body/div[6],<jumbotron track-opt mobile>,div,/html/body/div[6],,,FP,TP,TP,FP,U.
[PROP_CHANGED],,,,class,<quickMenu>,div,/html/body/div[6]/div[1],<container-fluid>,div,/html/body/div[6]/div[1],,,FP,TP,TP,FP,U.
[PROP_CHANGED],,,,class,<stampContainer quickMenuItem>,div,/html/body/div[6]/div[1]/div[3],<row align-items-center d-block d-lg-none d-xl-none align-self-center mobile-text>,div,/html/body/div[6]/div[1]/div[3],,,FP,FP,FP,TP,U.
[NODE_ADDED],,p,/html/body/div[6]/div[1]/div[3]/p[2],,,,,,,,,,TP,TP,TP,NA,disclaimer in gallery. A
[NODE_ADDED],,p,/html/body/div[6]/div[1]/div[3]/p[1],,,,,,,,,,TP,TP,TP,NA,p in galllery. A
[NODE_ADDED],,h2,/html/body/div[6]/div[1]/div[3]/h2[1],,,,,,,,,,TP,TP,TP,NA,h2 in gallery. A
[NODE_REMOVED],,,,,,,,,,,li,/html/body/div[12]/footer[1]/nav[1]/ol[2]/li[2]/ol[1]/li[1],FP,FP,FP,TP,business customer gateway link in footer. U
[NODE_REMOVED],,,,,,,,,,,div,/html/body/div[6]/div[1]/div[3]/div[1],FP,TP,TP,TP,stamps and supplies-location change. U
[PROP_CHANGED],,,,class,<shipContainer quickMenuItem>,div,/html/body/div[6]/div[1]/div[2],<row align-items-center d-block d-lg-none d-xl-none>,div,/html/body/div[6]/div[1]/div[2],,,FP,TP,TP,FP,click-n-ship. U
[NODE_ADDED],,img,/html/body/div[6]/div[1]/div[2]/img[1],,,,,,,,,,TP,TP,TP,NA,img in gallery. A
[NODE_REMOVED],,,,,,,,,,,div,/html/body/div[6]/div[1]/div[2]/div[1],FP,TP,TP,FP+FN,click-n-ship location change
[PROP_CHANGED],,,,class,<trackContainer quickMenuItem>,div,/html/body/div[6]/div[1]/div[1],<row align-items-center d-block d-lg-none>,div,/html/body/div[6]/div[1]/div[1],,,FP,TP,TP,FP,track a package U
[PROP_CHANGED],,,,class,<quickMenuItemWrapper>,div,/html/body/div[6]/div[1]/div[1]/div[1],<col-12 align-self-center>,div,/html/body/div[6]/div[1]/div[1]/div[1],,,FP,TP,TP,FP,track a package U
[PROP_CHANGED],,,,id,<content--form-trackconfirm>,form,/html/body/div[6]/div[1]/div[1]/div[1]/form[1],<>,form,/html/body/div[6]/div[1]/div[1]/div[1]/form[1],,,FP,TP,TP,FP,track a package U
[NODE_REMOVED],,,,,,,,,,,div,/html/body/div[6]/div[1]/div[1]/div[1]/form[1]/div[2],TP,FP,TP,FP,track package button D
[NODE_ADDED],,span,/html/body/div[6]/div[1]/div[1]/div[1]/form[1]/span[1],,,,,,,,,,,,,,track a package search box in International popup S
[NODE_ADDED],,li,/html/body/div[15]/footer[1]/nav[1]/ol[1]/li[1]/ol[1]/li[1],,,,,,,,,,FP,FP,FP,NA,Contact Us link in footer. U
[NODE_REMOVED],,,,,,,,,,,div,/html/body/div[6]/div[1]/div[1]/div[1]/form[1]/div[1],FP,TP,TP,FP+FN,enter tracking number box. U
[NODE_REMOVED],,,,,,,,,,,div,/html/body/div[6]/div[1]/div[1]/div[1]/div[1],TP,FP,TP,FP,h2 -Track a Package. D
[PROP_CHANGED],Y,,,class,<hero-wrapper>,div,/html/body/div[5],<jumbotron premium track-opt>,div,/html/body/div[5],,,FP,,TP,,
[PROP_CHANGED],Y,,,class,<homepage-hero-image>,div,/html/body/div[5]/div[1],<container-fluid>,div,/html/body/div[5]/div[1],,,FP,,TP,,
[PROP_CHANGED],Y,,,class,<image-content>,div,/html/body/div[5]/div[1]/div[1],<row align-items-center d-none d-lg-block>,div,/html/body/div[5]/div[1]/div[1],,,FP,,TP,,
[NODE_ADDED],Y,div,/html/body/div[5]/div[1]/div[1]/div[1],,,,,,,,,,TP,,,,gallery div
[NODE_REMOVED],Y,,,,,,,,,,a,/html/body/div[5]/div[1]/div[1]/a[1],TP,,,,
[NODE_ADDED],,h1,/html/body/h1[1],,,,,,,,,,TP,FP,TP,NA,h1 -USPS.com Home Page. A
[NODE_REMOVED],,,,,,,,,,,li,/html/body/div[4]/div[1]/nav[1]/ul[1]/li[7]/div[1]/ul[1]/li[1],TP,FP,TP,FP,Help-finding missing mail. D
[NODE_ADDED],,ul,/html/body/div[4]/div[1]/nav[1]/ul[1]/li[6]/div[1]/ul[2]/ul[2],,,,,,,,,,TP,FP,TP,NA,International-shipping restrictions. A
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
* Changed elements not detected by WebEvo,,,,,,,,,,,,,,,,,
ADD,,,,,,,,,,,,,,,,,
Informed Delivery,/html/body/div[8]/div[1]/div/div/div[4]/div,,,,,,,,,,,,,,,,
Feedback link in footer,/html/body/div[15]/footer/nav/ol[1]/li/ol/li[4]/a,,,,,,,,,,,,,,,,
DELETE,,,,,,,,,,,,,,,,,
Our Innovations Help...,/html/body/div[5]/div/div/a/span[3],,,,,,,,,,,,,,,,
Order Boxes button,"//*[@id=""orderButton""]",,,,,,,,,,,,,,,,
CyberSafe at USPS link in footer,/html/body/div[12]/footer/nav/ol[2]/li[2]/ol/li[8]/a,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
"* A/U/D in GroundTruth column indicate element is added/updated/deleted. Notes w/o A/U/D means the element has already been counted, don't double count.",,,,,,,,,,,,,,,,,
