ChangedType,AddedTag,addedXpath,typeChanged,oldType,oldTag,oldXpath,newType,newTag,newXpath,removedTag,removedXpath,Dynamic?,DOM,CV,Result,Vista,GroundTruth,,,
[NODE_REMOVED],,,,,,,,,,h2,/html/body/main[1]/section[2]/div[1]/div[1]/h2[1],,FP,TP,TP,TP,h2-Find the right job...,,,
[NODE_ADDED],div,/html/body/main[1]/section[1]/div[2],,,,,,,,,,,FP,FP,FP,NA,sign in div.,,,
[NODE_ADDED],code,/html/body/main[1]/section[1]/code[11],,,,,,,,,,,TP,TP,TP,NA,invisible <code>. A,,,
[NODE_ADDED],code,/html/body/main[1]/section[1]/code[9],,,,,,,,,,,TP,TP,TP,NA,invisible <code>. A,,,
[NODE_ADDED],code,/html/body/main[1]/section[1]/code[8],,,,,,,,,,,TP,TP,TP,NA,invisible <code>. A,,,
[NODE_ADDED],code,/html/body/main[1]/section[1]/code[7],,,,,,,,,,,TP,TP,TP,NA,invisible <code>. A,,,
[NODE_ADDED],code,/html/body/main[1]/section[1]/code[6],,,,,,,,,,,TP,TP,TP,NA,invisible <code>. A,,,
[NODE_ADDED],code,/html/body/main[1]/section[1]/code[5],,,,,,,,,,,TP,TP,TP,NA,invisible <code>. A,,,
[NODE_ADDED],code,/html/body/main[1]/section[1]/code[4],,,,,,,,,,,TP,TP,TP,NA,invisible <code>. A,,,
[NODE_REMOVED],,,,,,,,,,span,/html/body/footer[1]/ul[1]/li[1]/span[1],,FP,FP,FP,TP,@2019 U,,,
[NODE_ADDED],code,/html/body/main[1]/section[1]/code[3],,,,,,,,,,,TP,TP,TP,NA,invisible <code>. A,,,
[NODE_ADDED],code,/html/body/main[1]/section[1]/code[2],,,,,,,,,,,TP,TP,TP,NA,invisible <code>. A,,,
[NODE_ADDED],code,/html/body/main[1]/section[1]/code[1],,,,,,,,,,,TP,TP,TP,NA,invisible <code>. A,,,
[NODE_REMOVED],,,,,,,,,,section,/html/body/main[1]/section[1]/section[1],,TP,FP,TP,FP,"Find jobs, people and more searchbox D",,,
[PROP_CHANGED],,,class,<hero>,div,/html/body/main[1]/section[1]/div[1],<hero hero--with-form>,div,/html/body/main[1]/section[1]/div[1],,,,TP,TP,TP,FP,Welcome to your professional community U-class changed,,,
[PROP_CHANGED],,,class,<hero__illustration--mobile>,img,/html/body/main[1]/section[1]/div[1]/img[2],<hero__illustration--mobile flip-rtl>,img,/html/body/main[1]/section[1]/div[1]/img[2],,,,,,,,0X0 invisible img. S,,,
[PROP_CHANGED],,,class,<hero__illustration--desktop>,img,/html/body/main[1]/section[1]/div[1]/img[1],<hero__illustration--desktop flip-rtl>,img,/html/body/main[1]/section[1]/div[1]/img[1],,,,TP,FN,TP,FP,img of Welcome to your professional...U,,,
[NODE_REMOVED],,,,,,,,,,section,/html/body/nav[1]/section[2],,FP,TP,TP,FP,Sign in popup. U. Location change,,,
[NODE_REMOVED],,,,,,,,,,section,/html/body/nav[1]/section[1],Y,FP,TN,,,,,,
[NODE_ADDED],icon,/html/body/nav[1]/a[1]/icon[1],,,,,,,,,,,FP,FP,FP,NA,linkedin logo in header,,,
[NODE_ADDED],a,/html/body/footer[1]/ul[1]/li[2]/a[1],,,,,,,,,,,FP,FP,FP,NA,About after @2020. U,,,
[NODE_ADDED],span,/html/body/nav[1]/a[1]/span[1],,,,,,,,,,,TP,TP,TP,NA,A,,,
[NODE_REMOVED],,,,,,,,,,a,/html/body/nav[1]/a[1],,TP,FP,TP,FP,Linkedin logo in header. D,,,
[NODE_REMOVED],,,,,,,,,,li-icon,/html/body/footer[1]/ul[1]/li[1]/li-icon[1],,TP,FP,TP,FP,linkedin icon before @2019. D,,,
[NODE_ADDED],li,/html/body/footer[1]/ul[1]/li[1],,,,,,,,,,,FP,TP,TP,NA,@2020,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
* Changed elements not detected by WebEvo,,,,,,,,,,,,,,,,,,,,
ADD,,,,,,,,,,,,,,,,,,,,
Accessbility,/html/body/footer/ul/li[3]/a,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"* A/U/D in GroundTruth column indicate element is added/updated/deleted. Note w/o A/U/D means the element has already been counted, don't double count.",,,,,,,,,,,,,,,,,,,,
